Duplicate 1	Duplicate 2	Ka	Ks	Ka/Ks	P-Value
Glyma.01G071700	Glyma.02G127800	0.0143813	0.0793183	0.181311	4.47178e-10
Glyma.01G071800	Glyma.18G062000	0.280561	0.455616	0.615784	0.0426255
Glyma.01G071900	Glyma.10G009900	0.199028	0.542693	0.366742	0.003853
Glyma.01G072000	Glyma.02G127700	0.0267849	0.127147	0.210661	4.91484e-09
Glyma.01G072200	Glyma.07G272400	0.0536254	0.0538829	0.99522	0.8652
Glyma.01G072300	Glyma.18G226300	0.227762	0.369937	0.615678	0.00079886
Glyma.01G072400	Glyma.18G226300	0.141298	0.317885	0.444493	2.01738e-21
Glyma.01G072500	Glyma.04G234900	0.0623138	0.240083	0.259551	0.00270015
Glyma.01G072600	Glyma.11G141500	0.193535	0.279351	0.692801	0.191261
Glyma.01G072700	Glyma.15G025600	0.144352	0.496631	0.290663	5.31864e-07
Glyma.01G072800	Glyma.08G220900	0.0680743	0.172737	0.394092	0.0482237
Glyma.01G072900	Glyma.07G103400	0.271145	0.978009	0.277242	4.15668e-08
Glyma.01G073000	Glyma.01G169800	0.484659	2.54689	0.190294	2.13523e-10
Glyma.01G073100	Glyma.03G118100	0.566576	3.48533	0.16256	0
Glyma.01G073300	Glyma.06G303600	0.227054	0.509802	0.445376	0.0144137
Glyma.01G073400	Glyma.13G215900	0.690308	4.64802	0.148517	1.47981e-63
Glyma.01G073500	Glyma.05G142300	0.673485	4.16173	0.161828	3.54592e-36
Glyma.01G073600	Glyma.11G097900	0.258087	3.08664	0.0836144	1.19394e-55
Glyma.01G073900	Glyma.17G108300	0.0235063	0.0480648	0.489053	0.290331
Glyma.01G074000	Glyma.14G050200	0.697602	2.07909	0.335531	3.65191e-29
Glyma.01G074300	Glyma.01G233200	0.0171441	0.0820803	0.20887	0.0206173
Glyma.01G074600	Glyma.07G119400	0.28064	1.5459	0.181538	1.07766e-33
Glyma.01G074900	Glyma.08G283900	0.250321	0.605946	0.413108	1.30812e-10
Glyma.01G075300	Glyma.U016100	0.109726	0.304284	0.360606	0.000195398
Glyma.01G075400	Glyma.U016100	0.0103748	0.0509287	0.203713	0.000226565
Glyma.01G075600	Glyma.19G043200	0.311863	0.884031	0.352774	7.92881e-06
Glyma.01G075700	Glyma.12G086100	0.0212797	0.135455	0.157098	0.000133767
Glyma.01G076300	Glyma.01G097500	0.0853227	0.0999351	0.853781	0.628677
Glyma.01G076600	Glyma.09G234200	0.0690947	0.0294755	2.34414	0.36778
Glyma.01G076800	Glyma.04G194800	0.0275774	0.206014	0.133861	8.593e-05
Glyma.01G077100	Glyma.11G208600	0.725218	2.19983	0.329669	2.40044e-07
Glyma.01G077200	Glyma.16G194000	0.713952	4.26473	0.167408	1.13301e-56
Glyma.01G077600	Glyma.17G092000	0.134118	2.1324	0.0628952	1.88553e-78
Glyma.01G077700	Glyma.13G071300	0.267207	0.647978	0.412371	1.84136e-09
Glyma.01G078100	Glyma.10G003000	0.226753	0.549029	0.413007	0.00141544
Glyma.01G079200	Glyma.15G054000	0.248141	0.664729	0.373297	0.00146014
Glyma.01G079700	Glyma.11G030500	0.253635	3.04687	0.0832444	5.81717e-09
Glyma.01G079800	Glyma.09G085500	0.386876	1.56711	0.246872	2.69482e-26
Glyma.01G080000	Glyma.06G229800	0.119686	0.369368	0.324031	4.42648e-11
Glyma.01G080100	Glyma.17G191200	0.396669	4.16215	0.0953039	1.91995e-62
Glyma.01G080200	Glyma.12G039900	0.0673264	0.686152	0.0981217	1.16659e-14
Glyma.01G080300	Glyma.10G092700	0.0740576	1.44939	0.0510957	6.84138e-37
Glyma.01G080700	Glyma.07G023700	0.574671	4.04734	0.141987	9.04489e-25
Glyma.01G082200	Glyma.20G230300	0.278494	2.10175	0.132506	1.27893e-64
Glyma.01G083300	Glyma.07G050300	0.154586	0.65804	0.234919	7.67908e-13
Glyma.01G084100	Glyma.02G205700	0.0287353	0.0493532	0.582237	0.341051
Glyma.01G084400	Glyma.09G136400	0.117093	0.154231	0.759203	0.50316
Glyma.01G084900	Glyma.20G059900	0.151883	1.25986	0.120556	2.52223e-107
Glyma.01G085200	Glyma.13G056500	0.0226548	0.0497711	0.45518	0.141626
Glyma.01G085900	Glyma.11G133600	0.0568467	0.0361436	1.5728	0.758451
Glyma.01G086000	Glyma.13G056900	0.00200825	0.0340139	0.0590421	1.93056e-05
Glyma.01G086600	Glyma.02G098300	0.249254	0.616892	0.404048	1.13191e-06
Glyma.01G087100	Glyma.02G099300	0.161306	0.299785	0.538073	0.0150097
Glyma.01G087400	Glyma.20G135900	0.167561	0.318549	0.526014	0.00145025
Glyma.01G088700	Glyma.07G239200	0.136328	0.238785	0.570926	0.16369
Glyma.01G088800	Glyma.18G136500	0.236195	0.461991	0.511255	0.032026
Glyma.01G089400	Glyma.05G074600	0.112463	0.163774	0.686693	0.0878607
Glyma.01G089600	Glyma.19G012300	0.330861	1.48106	0.223394	1.18233e-06
Glyma.01G090500	Glyma.13G358900	0.115045	0.18634	0.617393	0.0503852
Glyma.01G091200	Glyma.16G032000	0.405037	0.790521	0.512367	0.00229429
Glyma.01G091500	Glyma.16G051200	0.0741522	0.179456	0.413205	0.0349404
Glyma.01G091600	Glyma.10G060100	0.3579	0.552618	0.647645	0.0449971
Glyma.01G092500	Glyma.20G236800	0.193776	0.432834	0.447692	0.027643
Glyma.01G092600	Glyma.18G018100	0.0407818	0.0686502	0.594053	0.352274
Glyma.01G092700	Glyma.08G012200	0.228849	0.0860877	2.65832	0.027613
Glyma.01G092800	Glyma.20G164400	0.313249	0.415174	0.7545	0.117047
Glyma.01G093000	Glyma.08G035200	0.565793	4.05168	0.139644	3.45069e-30
Glyma.01G093500	Glyma.02G269700	0.519645	0.628175	0.827228	0.418636
Glyma.01G093600	Glyma.14G180600	0.165371	0.314364	0.52605	0.0349583
Glyma.01G093700	Glyma.07G018400	0.0693229	0.239073	0.289965	0.000130008
Glyma.01G093800	Glyma.05G035800	0.63676	3.17784	0.200375	3.44722e-12
Glyma.01G094000	Glyma.07G169100	0.0932974	0.529292	0.176268	3.90024e-11
Glyma.01G094200	Glyma.07G117800	0.156735	0.652409	0.240241	7.80446e-76
Glyma.01G094400	Glyma.17G057800	0.224729	0.284544	0.789786	0.468757
Glyma.01G094800	Glyma.17G149400	0.282554	2.81465	0.100387	1.63978e-41
Glyma.01G094900	Glyma.13G044200	0.405841	4.16672	0.0974007	4.33725e-49
Glyma.01G096100	Glyma.08G130600	0.0190455	0.0101246	1.88111	0.852991
Glyma.01G096900	Glyma.08G283900	0.232384	1.17607	0.197594	2.37916e-23
Glyma.01G098800	Glyma.07G250100	0.0617541	0.111348	0.554604	0.0555195
Glyma.01G099000	Glyma.18G202800	0.361964	0.855921	0.422894	0.010421
Glyma.01G099200	Glyma.03G189000	0.105742	0.351509	0.300823	8.85838e-08
Glyma.01G099300	Glyma.07G022100	0.219481	0.758693	0.289288	7.10065e-07
Glyma.01G099500	Glyma.12G154500	0.0328597	0.0846024	0.388401	0.040483
Glyma.01G100400	Glyma.02G057300	0.0082859	0.0211553	0.391671	0.147672
Glyma.01G100500	Glyma.16G140500	0.0683957	0.237664	0.287783	0.00240793
Glyma.01G101300	Glyma.12G042700	0.192569	0.235322	0.818321	0.463823
Glyma.01G101400	Glyma.20G199300	0.0400895	0.045722	0.876811	0.728016
Glyma.01G101900	Glyma.17G010400	0.0336255	0.039853	0.843738	0.614177
Glyma.01G102000	Glyma.19G006100	0.0198604	0.106208	0.186995	0.0187147
Glyma.01G102200	Glyma.10G196900	0.66847	4.55414	0.146783	2.97974e-44
Glyma.01G103400	Glyma.02G014000	0.0264877	0.0402478	0.658116	0.462027
Glyma.01G104900	Glyma.09G094200	0.0539606	0.288107	0.187293	4.63332e-06
Glyma.01G105200	Glyma.15G248400	NA	NA	NA	NA
Glyma.01G105800	Glyma.03G073500	0.137242	0.401951	0.341441	0.00842966
Glyma.01G106400	Glyma.03G202100	0.0683003	0.117141	0.583061	0.193947
Glyma.01G106800	Glyma.06G157800	0.190671	2.72288	0.0700255	5.85935e-25
Glyma.01G107500	Glyma.U027500	0.0332941	0.0983632	0.338481	0.00023882
Glyma.01G107900	Glyma.U027700	0.0509688	0.170122	0.299602	1.4548e-07
Glyma.01G108000	Glyma.U027900	0.0104255	0.0718944	0.145012	5.0472e-06
Glyma.01G108100	Glyma.08G254300	0.65921	4.06826	0.162037	3.98467e-24
Glyma.01G108500	Glyma.17G099200	0.145845	0.156911	0.929471	0.828022
Glyma.01G108600	Glyma.01G233700	0.0330707	0.063	0.524931	0.291545
Glyma.01G109000	Glyma.02G176200	0.0392047	0.0480687	0.815597	0.776461
Glyma.01G110700	Glyma.18G259600	0.136072	0.1674	0.81286	0.380536
Glyma.01G111100	Glyma.04G029800	0.0691441	NA	NA	NA
Glyma.01G111700	Glyma.16G059400	0.10163	0.185825	0.546911	0.112397
Glyma.01G112000	Glyma.10G221200	0.16067	0.261111	0.615332	0.148323
Glyma.01G112800	Glyma.03G060100	0.0745342	0.135986	0.5481	0.124029
Glyma.01G113300	Glyma.13G349500	0.0513949	0.0867116	0.59271	0.243059
Glyma.01G113900	Glyma.20G100600	0.0199616	0.101489	0.196687	0.00095751
Glyma.01G114100	Glyma.02G249600	0.107638	0.222966	0.482755	0.0381308
Glyma.01G114500	Glyma.13G206700	0.0994522	0.153564	0.647626	0.0903207
Glyma.01G114600	Glyma.01G115600	0.309534	0.514789	0.601283	0.000126792
Glyma.01G115400	Glyma.13G247400	0.0472055	0.0724793	0.651296	0.305228
Glyma.01G117100	Glyma.05G030100	0.0323916	NA	NA	NA
Glyma.01G117400	Glyma.06G106200	0.153736	0.219708	0.699727	0.35624
Glyma.01G117500	Glyma.11G103900	0.0852297	0.0945991	0.900957	0.718322
Glyma.01G117600	Glyma.08G055400	0.0450876	0.0133681	3.37278	0.184892
Glyma.01G118100	Glyma.03G146100	0.034312	0.106306	0.322765	0.0866044
Glyma.01G120200	Glyma.19G175600	0.4976	1.56215	0.318536	1.63391e-09
Glyma.01G120500	Glyma.01G173000	0.114515	0.138688	0.825702	0.68611
Glyma.01G120600	Glyma.02G057500	0.0308608	0.00710114	4.34589	0.159022
Glyma.01G120700	Glyma.02G064500	0.0834663	0.0626593	1.33207	0.506682
Glyma.01G120900	Glyma.01G016400	0.0912086	0.131574	0.693211	0.372248
Glyma.01G121100	Glyma.07G092600	0.0495459	0.131377	0.377128	0.0342381
Glyma.01G121200	Glyma.07G061500	0.0915725	0.127285	0.719432	0.0771433
Glyma.01G121600	Glyma.20G072800	0.0118589	0.0164969	0.718858	0.438578
Glyma.01G122200	Glyma.07G107700	0.137153	0.394573	0.3476	0.00395847
Glyma.01G122300	Glyma.02G022800	0.184312	0.448277	0.411157	6.17154e-05
Glyma.01G122400	Glyma.04G090800	0.0319287	0.0612016	0.521697	0.329781
Glyma.01G122700	Glyma.17G144800	0.157608	0.305852	0.515309	0.000128666
Glyma.01G122900	Glyma.03G137000	0.139804	0.167025	0.837025	0.506965
Glyma.01G123700	Glyma.15G047100	0.0839995	0.209024	0.401866	0.00142284
Glyma.01G125500	Glyma.19G117700	0.104386	0.210844	0.495088	0.0508392
Glyma.01G127300	Glyma.15G079000	0.171088	0.21692	0.788714	0.480768
Glyma.01G127800	Glyma.12G045800	0.0449746	0.133396	0.33715	0.0226292
Glyma.01G130100	Glyma.03G040100	0.300236	1.25695	0.238861	5.91769e-06
Glyma.01G130400	Glyma.14G043400	0.114581	0.277805	0.412452	0.00580287
Glyma.01G130700	Glyma.18G005200	0.0302294	0.0405897	0.744756	0.431205
Glyma.01G131000	Glyma.19G063600	0.129485	0.134207	0.964812	0.999993
Glyma.01G133100	Glyma.01G183400	0.771493	3.88814	0.198422	1.12994e-11
Glyma.01G134400	Glyma.03G033300	0.0468258	0.100748	0.46478	0.00139755
Glyma.01G134900	Glyma.09G004900	0.0771738	0.189236	0.407818	5.41001e-05
Glyma.01G135000	Glyma.07G162400	0.0118614	0.0398007	0.29802	0.141873
Glyma.01G135100	Glyma.17G191200	0.030661	0.0525452	0.583516	0.00683628
Glyma.01G135200	Glyma.13G068500	0.167964	0.433468	0.387489	9.19115e-12
Glyma.01G136700	Glyma.05G074600	0.142391	0.22162	0.642501	0.00533869
Glyma.01G137100	Glyma.02G210800	0.583628	1.51952	0.384086	1.55241e-11
Glyma.01G137400	Glyma.08G283900	0.188455	0.459343	0.41027	0.00781144
Glyma.01G138500	Glyma.02G135700	0.0383679	0.141475	0.271199	0.000474615
Glyma.01G139800	Glyma.13G183200	0.355332	1.66627	0.213249	3.25899e-21
Glyma.01G140500	Glyma.05G206100	0.0376199	0.0502803	0.748204	0.24196
Glyma.01G141500	Glyma.04G020400	0.0215743	0.117607	0.183444	0.0117038
Glyma.01G141700	Glyma.19G001000	0.0486195	0.0778625	0.624428	0.33018
Glyma.01G143300	Glyma.07G040200	0.584801	0.95259	0.613907	0.0944736
Glyma.01G143400	Glyma.04G253500	0.198868	0.363463	0.547148	0.0265744
Glyma.01G143500	Glyma.13G180200	0.0340073	0.0936945	0.362959	0.00790597
Glyma.01G144600	Glyma.20G012300	0.0765605	0.0169188	4.52518	0.0501301
Glyma.01G145700	Glyma.13G340200	0.0173853	0.0220443	0.788654	0.419355
Glyma.01G145800	Glyma.08G111500	0.442097	0.900566	0.49091	0.0273191
Glyma.01G146800	Glyma.10G112800	NA	NA	NA	NA
Glyma.01G146900	Glyma.10G112900	NA	NA	NA	NA
Glyma.01G147300	Glyma.09G194500	0.0475836	0.11497	0.413879	0.00255343
Glyma.01G148000	Glyma.01G202100	0.0394143	0.0554645	0.710621	0.356646
Glyma.01G148100	Glyma.01G202300	0.0624637	0.114995	0.543188	0.00707859
Glyma.01G148200	Glyma.09G066400	0.0730104	0.113493	0.643304	0.212371
Glyma.01G148700	Glyma.08G091700	0.293191	3.96185	0.0740035	9.47419e-56
Glyma.01G149200	Glyma.01G035400	0.518971	1.87186	0.277249	1.30091e-26
Glyma.01G149600	Glyma.09G217500	0.22703	0.471275	0.481737	5.98786e-08
Glyma.01G152300	Glyma.09G217500	0.180079	0.383429	0.469654	1.54266e-10
Glyma.01G154800	Glyma.13G250700	0.0286338	0.0316278	0.905335	0.884765
Glyma.01G155000	Glyma.09G237200	0.812376	4.20454	0.193214	3.38815e-23
Glyma.01G156800	Glyma.16G131900	0.81107	4.38917	0.184789	2.81688e-33
Glyma.01G157200	Glyma.11G050700	0.183994	0.630681	0.291738	2.89328e-28
Glyma.01G162600	Glyma.12G060200	0.14307	0.554894	0.257833	0.000176329
Glyma.01G164700	Glyma.11G078400	0.244276	0.577211	0.4232	3.59078e-06
Glyma.01G176700	Glyma.08G117400	0.617729	4.53392	0.136246	6.09095e-44
Glyma.01G186500	Glyma.07G152500	0.645388	0.722053	0.893824	0.911916
Glyma.01G198300	Glyma.11G043500	0.28603	0.635268	0.450252	0.00890756
Glyma.01G200000	Glyma.10G190000	0.0102251	0.228562	0.0447369	4.8485e-09
Glyma.01G201000	Glyma.11G247000	0.52655	3.53604	0.14891	4.28e-17
Glyma.01G201800	Glyma.01G147900	0.0786745	0.0963907	0.816204	0.308916
Glyma.01G202800	Glyma.06G229800	0.346623	3.46574	0.100014	1.74592e-39
Glyma.01G205000	Glyma.04G105000	0.103914	0.236842	0.438747	0.010494
Glyma.01G206900	Glyma.11G036300	0.126619	0.380197	0.333035	0.00079739
Glyma.01G211800	Glyma.11G070500	0.00692134	0.150914	0.0458627	4.32652e-15
Glyma.01G216100	Glyma.11G050600	0.279957	0.626566	0.446812	0.00116342
Glyma.01G217000	Glyma.02G298600	0.0178621	0.0552731	0.323161	0.000834494
Glyma.01G218500	Glyma.10G094000	0.124199	0.931189	0.133377	1.91971e-06
Glyma.01G231500	Glyma.02G071600	0.660177	4.42296	0.149262	1.26947e-64
Glyma.01G232900	Glyma.01G236400	0.0944142	0.149246	0.63261	0.00425561
Glyma.01G234800	Glyma.13G364200	0.394058	2.06705	0.190638	1.37491e-07
Glyma.01G236200	Glyma.05G199300	0.610194	2.26339	0.269593	1.88937e-08
Glyma.01G237500	Glyma.20G078300	0.313025	0.24746	1.26495	0.457033
Glyma.01G239100	Glyma.12G194700	0.514264	1.737	0.296065	1.51698e-10
Glyma.01G240300	Glyma.14G159600	0.486416	4.49406	0.108235	1.61056e-57
Glyma.01G241200	Glyma.06G089600	0.314564	4.17324	0.0753765	1.68861e-64
Glyma.01G241400	Glyma.01G039100	0.536211	3.59248	0.14926	8.64578e-23
Glyma.01G241500	Glyma.02G256000	0.955588	4.43282	0.215571	3.22272e-16
Glyma.01G244400	Glyma.19G149500	0.942049	4.5987	0.204851	3.26385e-35
Glyma.01G244700	Glyma.10G165000	0.829123	4.64745	0.178404	6.01904e-65
Glyma.01G244800	Glyma.17G175500	0.465531	4.04393	0.115119	6.71222e-37
Glyma.01G245300	Glyma.12G183600	0.656873	3.8023	0.172757	5.41428e-29
Glyma.01G245600	Glyma.13G200800	0.445621	3.09409	0.144023	0
Glyma.01G245700	Glyma.13G036700	0.243017	3.79827	0.063981	2.8619e-38
Glyma.02G000200	Glyma.02G090800	0.0241465	0.0805583	0.299739	2.1816e-05
Glyma.02G000500	Glyma.20G210500	0.15124	0.90314	0.16746	4.71239e-14
Glyma.02G000600	Glyma.19G129900	0.246206	0.678542	0.362846	1.96414e-16
Glyma.02G000700	Glyma.13G077200	0.410846	3.05744	0.134376	9.00246e-32
Glyma.02G003500	Glyma.08G043700	0.619916	3.96331	0.156414	3.42892e-21
Glyma.02G007900	Glyma.10G139700	0.0954022	0.34753	0.274515	6.06961e-05
Glyma.02G009700	Glyma.19G108600	0.821179	4.2797	0.191878	3.51521e-35
Glyma.02G011600	Glyma.18G299200	0.956818	1.29896	0.736603	0.000393607
Glyma.02G012200	Glyma.13G139800	0.52122	2.06106	0.252889	3.79619e-08
Glyma.02G016000	Glyma.10G016300	0.0240622	0.507024	0.0474578	5.18575e-24
Glyma.02G017000	Glyma.03G215100	0.353467	3.17547	0.111312	1.94653e-27
Glyma.02G018400	Glyma.03G036700	0.58743	1.58669	0.370223	0.000167167
Glyma.02G018600	Glyma.12G001400	0.313844	1.19802	0.261968	1.25827e-09
Glyma.02G018800	Glyma.09G227500	0.0542584	0.120398	0.450658	0.00220038
Glyma.02G021800	Glyma.11G098700	0.160871	0.477857	0.336651	0.000512783
Glyma.02G023200	Glyma.08G283900	0.199921	0.500825	0.399183	8.20253e-10
Glyma.02G026200	Glyma.02G030700	0.210429	0.413501	0.508896	1.92051e-08
Glyma.02G034100	Glyma.02G033000	0.507815	1.18005	0.430334	4.02025e-06
Glyma.02G036600	Glyma.13G266000	0.0664098	0.144904	0.458304	0.102185
Glyma.02G043100	Glyma.01G160400	0.167466	0.826992	0.202501	5.24777e-19
Glyma.02G043700	Glyma.02G143600	0.321465	1.67965	0.191388	1.53519e-43
Glyma.02G043900	Glyma.18G287500	0.572965	4.33214	0.132259	2.86266e-43
Glyma.02G044500	Glyma.12G090800	0.347041	3.76021	0.0922929	2.29723e-32
Glyma.02G053300	Glyma.10G259900	0.629923	3.62508	0.173768	3.63668e-36
Glyma.02G057000	Glyma.12G079900	0.870632	3.80439	0.228849	4.53222e-12
Glyma.02G058100	Glyma.18G010200	1.01331	3.74406	0.270643	1.11582e-07
Glyma.02G058200	Glyma.06G319900	0.00280605	0.0565912	0.0495847	0.00186193
Glyma.02G058300	Glyma.06G319800	0.0138761	0.0272563	0.509097	0.226494
Glyma.02G060100	Glyma.16G142800	0.0213027	0.102537	0.207756	0.0384703
Glyma.02G060600	Glyma.13G202100	0.0200901	NA	NA	NA
Glyma.02G062000	Glyma.16G144200	0.0743422	0.103862	0.715777	0.317028
Glyma.02G062100	Glyma.16G144200	0.166659	0.293249	0.568318	0.00213543
Glyma.02G064600	Glyma.16G177700	0.315429	0.660335	0.477681	1.24745e-06
Glyma.02G065100	Glyma.19G096900	0.295244	1.56763	0.188338	1.37502e-46
Glyma.02G069300	Glyma.07G199200	0.065256	0.305409	0.213668	2.05077e-05
Glyma.02G069400	Glyma.05G159400	0.235323	0.544544	0.432147	5.98687e-07
Glyma.02G069500	Glyma.16G150700	0.007166	0.145296	0.0493199	0.00106321
Glyma.02G070400	Glyma.12G203000	0.317464	0.676748	0.469102	6.7028e-07
Glyma.02G070700	Glyma.13G112300	0.293685	4.61704	0.063609	1.65505e-137
Glyma.02G073800	Glyma.10G209900	0.301463	1.31909	0.228539	1.08217e-24
Glyma.02G076400	Glyma.16G158400	0.0684992	0.042028	1.62985	0.559791
Glyma.02G076900	Glyma.08G301200	0.524229	2.19723	0.238586	8.17037e-32
Glyma.02G077900	Glyma.11G136400	0.589494	4.36866	0.134937	2.41613e-36
Glyma.02G078000	Glyma.06G109300	0.468672	3.29419	0.142272	3.38024e-29
Glyma.02G078600	Glyma.06G179800	0.889321	3.96972	0.224026	3.58039e-18
Glyma.02G078800	Glyma.13G068500	0.294754	2.1267	0.138597	1.02249e-39
Glyma.02G080800	Glyma.08G082900	0.108024	2.18225	0.0495014	1.2346e-43
Glyma.02G082700	Glyma.16G162300	0.25729	2.08219	0.123567	3.33701e-52
